,ID,True density (gcm-3),SA (m2g-1),H/C,Temp (C),True density (kgm-3),Hold time (min),Yield (%),Moisture (%),Ash (%),C (%),H (%),N (%),O (%),O/C,NMR aromaticity (%),NMR delta (ppm),VM (%),FC (%),Porosity (%),pH
327,"HW 600-Sun, Y et al., Chemical Engineering Journal 240 (2014) 574-578. ",,401,0.318298497,600,,,,,,81.81,2.17,0.73,14.03,0.128621195,,,,,,8.4
328,R1000/F600,1.45,330,0.0325,600,1450,30,,,,,,,,,,,,,,
329,S600N2R,,202,0.307692308,600,,,18.5,,,89.7,2.3,,5.3,0.044314381,,,,,,
330,"AT 600-Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.",,208.69,0.288730665,600,,,,,,81.46,1.96,0.46,13.63,0.125491039,,,11.07,,,10.04
331,Pine Wood,1.4846,,0.4,600,1484.6,60,,,,,,,,0.07,98,1.8,,,,
332,"WC 600-Kearns, J. P et al.,Water Research 62 (2014) 20-28.",,332,0.272138229,600,,,,,3,92.6,2.1,0.28,2.1,0.017008639,,,,,,
333,"Pine 600-Enders et al., Bioresource Technology 114 (2012) 644-653.",,,0.302963776,600,,,,,1.1,91.1,2.3,0.1,9.5,0.078210757,,,27.7,71.2,,6
334,"Oak 600-Cheah, S et al., Environmental Science & Technology 48, 15 (2014) 8474-8480.",,,0.369668246,600,,,,,4.6,84.4,2.6,0.4,,,,,19.1,76.3,,
335,"FC 600-Fang, Q et al., Environmental Science & Technology 48, 1 (2013) 279-288.",,438.6,0.25348253,600,,,,,3.33,87.58,1.85,0.42,10.12,0.086663622,,,,,,10
336,Chestnut Wood,1.6216,,0.24,600,1621.6,300,,,,,,,,0.03,93,3.4,,,,
337,R650/F600,1.47,370,0.0307,600,1470,30,,,,,,,,,,,,,,
338,S Wood 600,1.629411765,146.8531469,0.29,600,1629.411765,240,32.6,3,6.7,80.2,1.9,1.1,10.1,0.09,,,,,,
339,"OT 600-Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.",,288.58,0.283673972,600,,,,,,81.22,1.92,0.48,15.96,0.147377493,,,12.3,,,8.85
340,"SSP 600-Soinne, H et al., Geoderma 219–220 (2014) 162-167.",,11.8,,600,,,,,2.3,90.3,,,,,,,,,,
341,"WC 620-Cely, P et al., Solid Earth Discussions 6, 1 (2014) 849-868.",,332.138,,620,,,,,7.87,,,,,,,,14.88,77.25,,10.19
342,"DF 620 -Fulton, W et al., Agronamy for Sustainable Development 33, 3 (2013) 469-474.",,,,620,,,,,2.5,,,,,,,,,,,
343,"Laurel Oak 650-Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301",,218.7,,650,,,,,3.7,,,,18.2,,,,20.7,75.6,,
344,"Eastern Red Cedar 650-Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301",,490.1,,650,,,,,1,,,,11.4,,,,30.9,68.1,,
345,"Bubinga 650-Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301",,548.9,,650,,,,,1.3,,,,13.8,,,,22.3,76.4,,
346,"Pine 650 -Nelissen, V et al., Agronomy 4 (2014) 52-73. ",,,0.217710583,650,,,,3.4,1.1,92.6,1.68,0.15,4.47,0.036204104,,,6,92.9,,7.7
347,"Willow 650-Nelissen, V et al., Agronomy 4 (2014) 52-73.",,,0.161320755,650,,,,5.3,4.9,84.8,1.14,1,8.16,0.072169811,,,6,89.1,,8.1
348,"Loblolly Pine 650-Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301",,393.9,,650,,,,,1.1,,,,12.2,,,,25.2,73.7,,
349,"Pine 650-5-Crombie et al., GCB Bioenergy 5 (2013) 122-131",,,0.249867879,650,,,,,5.9,94.61,1.97,0,3.42,0.027111299,,,15.2,78.9,,
350,"PC 650-Crombie, K et al., GCB Bioenergy (2014).",,,,650,,,,,5.9,,,,,,,,,,,
351,"PW 650-Chintala et al., Clean Soil Air Water 42 (2014) 626-634",,52.1,,650,,,,,,83.3,,0.353,,,,,,,,5.82
352,"PWC 650-Chintala, R et al., Journal of Hazardous Materials 279 (2014) 244-256.",,48,0.27771011,650,,,,,14.5,82.1,1.9,0.42,1,0.009135201,,,,,,5.8
354,"PWRB-Chintala, R et al., Microporous and Mesoporous Materials 179 (2013) 250-257. ",,52.1,,650,,,,,,84.5,,0.48,,,,,12.5,,,7.85
355,"PI650-Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556",,81.7,0.000429594,650,,,,,,83.8,0.003,0.26,,,,,,,,
356,"PC 650, 100-Crombie, K et al., GCB Bioenergy (2014).",,,,650,,,,,5,,,,,,,,,,,
357,"WP 650 40, 0.66-Crombie, K et al., GCB Bioenergy (2014).",,,0.247139588,650,,,,,1.2,87.4,1.8,0,9.6,0.082379863,,,9.7,89.1,,
358,"WP 650 20, 0.66-Crombie, K et al., GCB Bioenergy (2014).",,,0.247990815,650,,,,,1.8,87.1,1.8,0,9.3,0.080080367,,,9.1,89.1,,
359,"RW 650-Ghani, W. A. W. A. K. et al., Industrial Crops and Products 44 (2013) 18-24.",,,0.22173913,650,,,,,17.8,92,1.7,0.2,6.2,0.050543478,,,,,,
360,"WP 650 10, 0.66-Crombie, K et al., GCB Bioenergy (2014).",,,0.239467849,650,,,,,1.5,90.2,1.8,0,6.5,0.054046563,,,42.6,55.9,,
361,"WP 650 20, 0.33-Crombie, K et al., GCB Bioenergy (2014).",,,0.28668942,650,,,,,2.8,87.9,2.1,0.1,7.2,0.061433447,,,8.8,88.4,,
362,"HM650-Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556",,107,0.297520661,650,,,,,,72.6,1.8,1.47,8.5,0.087809917,,,,,,
363,"WP 650 10, 0.33-Crombie, K et al., GCB Bioenergy (2014).",,,0.219827586,650,,,,,2.2,92.8,1.7,0,3.3,0.026670259,,,8.8,89,,
364,"WP 650 40, 0-Crombie, K et al., GCB Bioenergy (2014).",,,0.266666667,650,,,,,2,90,2,0.1,5.9,0.049166667,,,6.7,91.3,,
365,"WP 650 20, 0-Crombie, K et al., GCB Bioenergy (2014).",,,0.293986637,650,,,,,2.1,89.8,2.2,0.1,5.9,0.049276169,,,7.5,90.4,,
366,"Pine 650-100-Crombie et al., GCB Bioenergy 5 (2013) 122-131",,,0.320855615,650,,,,,5,87.89,2.35,1.47,8.29,0.070741836,,,13.4,81.6,,
367,"WP 650 10, 0-Crombie, K et al., GCB Bioenergy (2014).",,,0.292035398,650,,,,,1.4,90.4,2.2,0.1,5.9,0.048949115,,,8.1,90.5,,
368,"Oak 650-Mukherjee, A et al., Science of The Total Environment 487 (2014) 26-36.",,214,,650,,,,,4.3,90,,0.3,,,,,11,84.7,,9.4
370,"WP 650 40, 0.33-Crombie, K et al., GCB Bioenergy (2014).",,,0.239467849,650,,,,,1.5,90.2,1.8,0,6.4,0.053215078,,,9.1,89.4,,
371,"DPBC700-Usman, A.R.A., et al. Journal of Analytical and Applied Pyrolysis 115 (2015) 392-400.",,,0.186325252,700,,,,2.1,21.05,73.42,1.14,0.35,3.19,0.032586489,,,5.47,73.48,,11.5
372,14,,,,700,1892,15,28.9,0.49,0.47,,,,,,,,1.8,97.7,,
373,S700C02R,,348,0.200445434,700,,,17.8,,,89.8,1.5,0.3,3.8,0.031737194,,,,,,
374,solar700,1.595,575,0,700,1595,,,2.6,3.3,98.9,0.1,0.1,1,0.007583418,,,10.5,83.6,72.66,
375,S Grass 700,1.964705882,386.7132867,0.12,700,1964.705882,240,24,0,6.9,84.2,0.8,0.6,7.5,0.07,,,,,,
376,S700N2R,,308,0.212624585,700,,,17.9,,,90.3,1.6,0.3,3.4,0.028239203,,,,,,
377,SB0700N2R,,337,0.226918799,700,,,16.2,,,89.9,1.7,0.3,3.8,0.031701891,,,,,,
378,"AT 700-Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.",,418.66,0.176513494,700,,,,,,82.26,1.21,0.41,16.34,0.148978848,,,7.72,,,10.03
379,S700N2S,,395,0.234527687,700,,,23,,,92.1,1.8,0.4,3.5,0.028501629,,,,,,
381,"Cellulose4-Argudo et al., Carbon 36, 7-8 (1998) 1027-1031",,337,0.25259025,700,,,,,0,91.69,1.93,0.08,6.3,0.051532337,,,,,,
383,SB0700N2S,,387,0.209378408,700,,,29.3,,,91.7,1.6,0.4,3.4,0.02780807,,,,,,
384,B700N2R,,342,0.22616408,700,,,15,,,90.2,1.7,0.5,3.7,0.030764967,,,,,,
385,B700C02R,,335,0.212389381,700,,,15.1,,,90.4,1.6,0.5,3.6,0.029867257,,,,,,
386,B700N2S,,449,0.209378408,700,,,18.4,,,91.7,1.6,0.5,5.1,0.041712105,,,,,,
387,S Wood 700,1.73368984,314.6853147,0.15,700,1733.68984,240,29.9,4.3,5.4,84.3,1.1,0.7,8.5,0.08,,,,,,
388,"FC 700-Fang, Q et al., Environmental Science & Technology 48, 1 (2013) 279-288.",,485.6,0.137066069,700,,,,,4.42,89.3,1.02,0.3,9.36,0.078611422,,,,,,10
389,Eucalyptus saligna 700-Cordero et al. Fuels 80 (2001) 1567-1571.,,,0.207119741,700,,,,,1.9,92.7,1.6,0.4,3.3,0.026699029,,,6.6,91.5,,
390,SWP700,,170,0.26,700,1590,,,,1.6,,,,,0.04,,,,,,
392,"OT 700-Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.",,335.61,0.167267484,700,,,,,,83.22,1.16,0.31,14.97,0.134913482,,,8.28,,,9.54
394,"PC 700-Spokas, K et al., Environmental Science & Technology Letters 1 (2014) 326-332.",,,,700,,,,,,84.7,,,13.5,0.119539551,,,,,,
395,tintner700,1.679470199,94.14165741,0.126018783,700,1679.470199,240,,,,92.63473054,0.972809668,,,,,,,,,
396,tintner700,1.735099338,95.79636886,0.100375258,700,1735.099338,240,,,,91.01796407,0.761329305,,,,,,,,,
397,G700,,139,0.2,700,,60,28.8,,19.3,94.2,1.53,0.7,3.6,0.03,,,9.1,71.6,,
398,"Ponderosa pine shavings7-Keiluweit et al., Env Sci & Technol 44, 4 (2010) 1247-1253",,347,0.210617551,700,,,,,1.7,92.3,1.62,0.08,6,0.048754063,,,6.3,92,,
399,W700,,347,0.21,700,,60,22,,1.7,92.3,1.62,0.08,6,0.05,,,6.3,92,,
400,"PSD 700-Srinivasan, P et al., Science of The Total Environment 502 (2015) 471-480.",,795,0.172937294,700,,,,,1.58,90.9,1.31,0.11,6.1,0.050330033,,,,,,9.7
401,Pine Wood,1.6177,,0.21,700,1617.7,60,,,,,,,,0.05,100,4.3,,,,
402,"WC 700-Kearns, J. P et al.,Water Research 62 (2014) 20-28.",,389,0.169565217,700,,,,,4.5,92,1.3,0.27,1.9,0.01548913,,,,,,
403,S700C02S,,452,0.210065646,700,,,27.6,,,91.4,1.6,0.4,3.7,0.03036105,,,,,,
404,Chestnut Wood,1.7664,,0.14,700,1766.4,300,,,,,,,,0.03,97,5.7,,,,
406,"RW 750-Ghani, W. A. W. A. K. et al., Industrial Crops and Products 44 (2013) 18-24.",,,0.135662898,750,,,,,19.5,97.3,1.1,0,1.2,0.009249743,,,,,,
407,ES750,,,0.2,750,,30,28.2,,1.1,90.9,1.52,,5.6,0.05,,,6.5,92.4,,
408,"WP 750-Zheng, W., B.K. Sharma and N. Rajagopalan. 2010. Using Biochar as a Soil Amendment for Sustainable Agriculture.  University of Illinois at Urbana-Champaign, Illinois Sustainable Technology Center.",,105.3,0.166849616,750,,,,4.56,8.75,81.99,1.14,0.52,3.04,0.027808269,,,,,,
410,SG750,,,0.22,750,,30,26.9,,2.2,90.5,1.64,,4.3,0.04,,,7.7,90.1,,
411,PB750,,,0.16,750,,30,38.9,,14.5,86.3,1.16,,19.1,0.17,,,6,79.4,,
413,R650/F750,1.72,420,0.0173,750,1720,30,,,,,,,,,,,,,,
414,"PiG-Ojeda, Gerardo, et al. Geoderma 249-250 (2015) 1-11.",,,,750,,,,,,,,,,,,,,,,11.8
415,R200/F750,1.74,410,0.0164,750,1740,30,,,,,,,,,,,,,,
416,R30/F750,1.74,375,,750,1740,30,,,,,,,,,,,,,,
417,"Carbonized Pine-Enders et al., Bioresource Technology 114 (2012) 644-653.  ",,,,750,,,,,4,,,,,,,,18.7,77.3,,
418,"Pine 750 60 min Residence Time-Ronsse et al., GCB Bioenergy 5 (2013) 104-115",,,0.142702703,750,,,,,,92.5,1.1,,,,,,2.6,,,10.4
